variant_id,task_set_id,task_id,run_id,workflow_run_id,workflow_commit,completed,source_count,successful_source_count,failed_source_count,search_call_count,model_call_count,prompt_tokens,completion_tokens,total_tokens,estimated_cost_usd,cost_accounting_status,latency_seconds,report_words,claims_checked,supported_claim_count,partially_supported_claim_count,unsupported_claim_count,contradicted_claim_count,claim_support_rate,usage_accounting_status,verification_status,smart_model,fast_model,provenance_note
D6,pilot-v1-2026-09-08,pilot-01,513862da-f6fe-4c69-b345-35cd0b9ff1e0,34377707838,144ed06b5b2826bf6b7d7b5fcf1c982f518c3d03,True,6,5,1,1,6,16006,6892,22898,0.0562574,estimated_from_frozen_uncached_rates,100.260191959,2530,0,0,0,0,0,0.0,provider_usage_complete,not_requested,gpt-5.6-terra,gpt-5.6-luna,original full pilot; completed before credit exhaustion
D6,pilot-v1-2026-09-08,pilot-02,22cf00eb-ee09-4d51-8ac3-c30ec40761cd,34377707838,144ed06b5b2826bf6b7d7b5fcf1c982f518c3d03,True,6,2,4,1,7,8708,5045,13753,0.0465946,estimated_from_frozen_uncached_rates,73.95482942400002,2518,0,0,0,0,0,0.0,provider_usage_complete,not_requested,gpt-5.6-terra,gpt-5.6-luna,original full pilot; completed before credit exhaustion
D6,pilot-v1-2026-09-08,pilot-03,1f0a8b8d-e85c-4c0e-a251-cf3b85f5e3ed,34377707838,144ed06b5b2826bf6b7d7b5fcf1c982f518c3d03,True,6,3,3,1,5,10690,5694,16384,0.0527018,estimated_from_frozen_uncached_rates,109.16208355599996,2821,0,0,0,0,0,0.0,provider_usage_complete,not_requested,gpt-5.6-terra,gpt-5.6-luna,original full pilot; completed before credit exhaustion
D6,pilot-v1-2026-09-08,pilot-04,42f32c30-9ee7-40a1-b21d-30b0fb58aaf7,34377707838,144ed06b5b2826bf6b7d7b5fcf1c982f518c3d03,True,6,2,4,1,4,5971,4725,10696,0.0457676,estimated_from_frozen_uncached_rates,97.94054221500004,2461,0,0,0,0,0,0.0,provider_usage_complete,not_requested,gpt-5.6-terra,gpt-5.6-luna,original full pilot; completed before credit exhaustion
D6,pilot-v1-2026-09-08,pilot-05,09707c21-f97e-4ab1-8471-e0d2ed7dc890,34377707838,144ed06b5b2826bf6b7d7b5fcf1c982f518c3d03,True,6,3,3,1,6,11986,6543,18529,0.0608864,estimated_from_frozen_uncached_rates,87.48743525000009,2955,0,0,0,0,0,0.0,provider_usage_complete,not_requested,gpt-5.6-terra,gpt-5.6-luna,original full pilot; completed before credit exhaustion
P6,pilot-v1-2026-09-08,pilot-01,887d858c-2239-4a5f-a719-911937075263,34377707838,144ed06b5b2826bf6b7d7b5fcf1c982f518c3d03,True,6,3,3,4,7,12606,6431,19037,0.0619272,estimated_from_frozen_uncached_rates,145.098049123,3124,0,0,0,0,0,0.0,provider_usage_complete,not_requested,gpt-5.6-terra,gpt-5.6-luna,original full pilot; completed before credit exhaustion
P6,pilot-v1-2026-09-08,pilot-02,0481aff9-c82a-45f2-9e11-122dcbea6e1c,34377707838,144ed06b5b2826bf6b7d7b5fcf1c982f518c3d03,True,6,1,5,4,7,4534,4637,9171,0.0510679999999999,estimated_from_frozen_uncached_rates,101.85515157700002,2672,0,0,0,0,0,0.0,provider_usage_complete,not_requested,gpt-5.6-terra,gpt-5.6-luna,original full pilot; completed before credit exhaustion
P6,pilot-v1-2026-09-08,pilot-03,703ce815-186c-4b54-8314-52f4ad38ea99,34377707838,144ed06b5b2826bf6b7d7b5fcf1c982f518c3d03,True,6,3,3,4,5,13291,5387,18678,0.048224,estimated_from_frozen_uncached_rates,169.46139263999988,2229,0,0,0,0,0,0.0,provider_usage_complete,not_requested,gpt-5.6-terra,gpt-5.6-luna,original full pilot; completed before credit exhaustion
P6,pilot-v1-2026-09-08,pilot-04,89abae55-0c3e-4715-9938-614bf4af95f4,34377707838,144ed06b5b2826bf6b7d7b5fcf1c982f518c3d03,True,6,6,0,4,8,22459,7992,30451,0.0643724,estimated_from_frozen_uncached_rates,108.76753137299989,2747,0,0,0,0,0,0.0,provider_usage_complete,not_requested,gpt-5.6-terra,gpt-5.6-luna,original full pilot; completed before credit exhaustion
P6,pilot-v1-2026-09-08,pilot-05,6ae23c29-1809-4905-a63a-722736b7cacf,34377707838,144ed06b5b2826bf6b7d7b5fcf1c982f518c3d03,True,6,4,2,4,8,19144,7127,26271,0.0615032,estimated_from_frozen_uncached_rates,113.031076802,2617,0,0,0,0,0,0.0,provider_usage_complete,not_requested,gpt-5.6-terra,gpt-5.6-luna,original full pilot; completed before credit exhaustion
