variant_id,task_id,completed,source_budget,successful_sources,failed_sources,search_calls,model_calls,total_tokens,treatment_cost_usd,cost_status,latency_seconds,report_words,posthoc_claims_checked,posthoc_strict_support_rate,posthoc_evaluator_cost_usd
D3,main-07,True,3,1,2,1,3,6432,0.038024199999999994,estimated_from_frozen_uncached_rates,59.18797720800012,2287,8,1.0,0.018779999999999998
D3,main-10,True,3,1,2,1,3,7820,0.0470374,estimated_from_frozen_uncached_rates,68.90942774699988,2744,12,0.8333333333333334,0.02123
D3,main-03,True,3,3,0,1,4,17545,0.0579512,estimated_from_frozen_uncached_rates,71.04081434399995,2623,12,0.75,0.031506
D3,main-05,True,3,1,2,1,3,6433,0.0423632,estimated_from_frozen_uncached_rates,61.950454617000105,2577,8,0.75,0.0211
D3,main-02,True,3,1,2,1,3,7478,0.041171799999999995,estimated_from_frozen_uncached_rates,60.10437330100001,2308,8,0.875,0.01948
D3,main-01,True,3,2,1,1,4,12239,0.0476792,estimated_from_frozen_uncached_rates,71.64336414499999,2475,12,0.8333333333333334,0.024862
D3,main-09,True,3,2,1,1,4,8478,0.044584599999999995,estimated_from_frozen_uncached_rates,57.54251343399983,2481,8,0.75,0.039552000000000004
D3,main-06,True,3,2,1,1,4,11336,0.051538,estimated_from_frozen_uncached_rates,68.6247842119999,2795,8,1.0,0.023348
D3,main-08,True,3,3,0,1,4,18124,0.0536434,estimated_from_frozen_uncached_rates,66.31555242799959,2719,12,0.8333333333333334,0.02907
D3,main-04,True,3,2,1,1,3,12060,0.051589800000000005,estimated_from_frozen_uncached_rates,62.34757724700012,2641,8,0.75,0.02446
D6,main-10,True,6,3,3,1,6,17979,0.0524672,estimated_from_frozen_uncached_rates,71.23711899399996,2585,8,0.75,0.0254
D6,main-04,True,6,3,3,1,6,15622,0.05592300000000001,estimated_from_frozen_uncached_rates,67.08382359799998,2819,8,0.75,0.024872
D6,main-03,True,6,6,0,1,7,29107,0.0672708,estimated_from_frozen_uncached_rates,81.08617673999993,2526,8,0.75,0.029304
D6,main-01,True,6,2,4,1,6,12552,0.045712800000000005,estimated_from_frozen_uncached_rates,62.540147671,2405,8,0.75,0.021726000000000002
D6,main-08,True,6,4,2,1,6,20404,0.0582574,estimated_from_frozen_uncached_rates,71.6224126850002,2896,12,0.8333333333333334,0.027309999999999997
D6,main-06,True,6,3,3,1,7,15313,0.0546074,estimated_from_frozen_uncached_rates,67.33906297899989,2742,8,0.875,0.029516
D6,main-05,True,6,3,3,1,6,14910,0.04965699999999999,estimated_from_frozen_uncached_rates,66.36401166199994,2581,8,0.875,0.023612
D6,main-02,True,6,3,3,1,6,11420,0.0493716,estimated_from_frozen_uncached_rates,67.81791649499996,2450,8,0.875,0.022064
D6,main-09,True,6,5,1,1,7,16500,0.053423200000000004,estimated_from_frozen_uncached_rates,64.51894812499995,2460,12,0.8333333333333334,0.026624000000000002
D6,main-07,True,6,1,5,1,4,11522,0.0464086,estimated_from_frozen_uncached_rates,64.4987995739998,2737,8,0.875,0.018520000000000002
P6,main-03,True,6,4,2,4,8,27360,0.0649032,estimated_from_frozen_uncached_rates,100.74579297599996,2834,8,0.75,0.0269
P6,main-04,True,6,6,0,4,8,31912,0.0695528,estimated_from_frozen_uncached_rates,107.66763225599993,2550,8,0.75,0.036664
P6,main-08,True,6,3,3,4,6,16515,0.051631800000000005,estimated_from_frozen_uncached_rates,82.31327144000034,2636,8,0.625,0.030184000000000002
P6,main-07,True,6,1,5,4,6,9783,0.050779599999999994,estimated_from_frozen_uncached_rates,87.53331074500011,2672,12,0.75,0.020104
P6,main-02,True,6,2,4,4,6,12988,0.049747799999999995,estimated_from_frozen_uncached_rates,78.18537525199997,2452,8,0.75,0.020494
P6,main-06,True,6,5,1,4,7,24127,0.0646688,estimated_from_frozen_uncached_rates,100.28869416799989,2869,8,0.875,0.028630000000000003
P6,main-10,True,6,2,4,4,7,11307,0.050838600000000005,estimated_from_frozen_uncached_rates,85.38421940100034,2640,8,1.0,0.02429
P6,main-01,True,6,4,2,4,8,18507,0.0581122,estimated_from_frozen_uncached_rates,105.76128615799999,2843,12,0.75,0.031134
P6,main-09,True,6,2,4,4,8,14603,0.0465888,estimated_from_frozen_uncached_rates,79.50294381399999,2235,8,0.875,0.023996000000000003
P6,main-05,True,6,2,4,4,7,9727,0.048178200000000004,estimated_from_frozen_uncached_rates,102.66857895700014,2699,12,0.75,0.029156
P6V,main-06,True,6,1,5,4,8,13764,0.074653,estimated_from_frozen_uncached_rates,95.44277520300011,2485,12,0.8333333333333334,0.020024
