variant_id,task_id,run_id,evidence_status,claims_checked,supported,partially_supported,unsupported,contradicted,strict_support_rate,total_tokens,estimated_cost_usd
D3,main-01,aa185c03-6495-422b-ba5d-a891947a4fd8,,12,10,1,1,0,0.8333333333333334,6181,0.024862
D6,main-01,56bf1a25-3293-4767-bb76-33dcb8aeac15,,8,6,2,0,0,0.75,5743,0.021726000000000002
P6,main-01,c5f5e91e-2c3c-463f-9bad-9aa6e7d985eb,,12,9,2,1,0,0.75,7827,0.031134
P6V,main-01,9fb2c58a-4ce1-430c-9673-720c8732699f,,8,6,1,1,0,0.75,8468,0.029386000000000002
D3,main-02,a8da45a9-9162-4cc8-a2e4-fdb0934810da,,8,7,1,0,0,0.875,4920,0.01948
D6,main-02,b453e73f-136a-4042-b3e3-2de1516e99dc,,8,7,0,1,0,0.875,6252,0.022064
P6,main-02,9694427f-bdb7-46da-b715-f4edd6cb97fa,,8,6,2,0,0,0.75,5722,0.020494
P6V,main-02,dd6861d1-ac54-4499-ab30-f3f581f0845d,retrieved_evidence,8,5,2,1,0,0.625,7088,0.024686
D3,main-03,54ddb919-dab0-4bdd-ab81-72a13bf510c7,,12,9,1,2,0,0.75,7658,0.031506
D6,main-03,41cb4b0f-9f2d-422c-9315-096d810c96cc,,8,6,0,2,0,0.75,8827,0.029304
P6,main-03,16f14e2b-2f1d-48d3-9d07-7bcbc0624cba,,8,6,1,1,0,0.75,7845,0.0269
P6V,main-03,9951e3ff-9d4a-482d-8bda-e9360a70cf5a,,12,11,1,0,0,0.9166666666666666,7797,0.036034
D3,main-04,cc6f2a39-b090-42a2-a61e-b7d97b9216b1,,8,6,1,1,0,0.75,6425,0.02446
D6,main-04,1079abeb-efdd-4a1a-809b-73d562b1b0d6,,8,6,1,1,0,0.75,7031,0.024872
P6,main-04,1f89cbd6-e1d9-48d0-9e61-7ec9e6b72c84,,8,6,1,1,0,0.75,9977,0.036664
P6V,main-04,51405772-12a9-45d9-9a2f-8e9d266a5285,,8,7,1,0,0,0.875,9065,0.03608
D3,main-05,79107c31-b093-45db-b035-bb5e00a54a3d,,8,6,1,1,0,0.75,5185,0.0211
D6,main-05,9e82d359-1ece-433f-8e64-c9b42ceec081,,8,7,1,0,0,0.875,6436,0.023612
P6,main-05,efdf929d-01ce-4b01-ae05-b0a410804842,,12,9,2,1,0,0.75,6438,0.029156
P6V,main-05,b49a3f09-a3f1-444f-8405-d0f4c57290b6,,8,7,1,0,0,0.875,5015,0.01997
D3,main-06,b039f9bd-c7bb-46b0-aabd-642fc0414522,,8,8,0,0,0,1.0,6304,0.023348
D6,main-06,7bb24982-128e-4f97-b1d5-e5fc3723aa48,,8,7,1,0,0,0.875,7333,0.029516
P6,main-06,9be89632-a9ad-4762-b97b-b31f91eeccfd,,8,7,1,0,0,0.875,8375,0.028630000000000003
P6V,main-06,14388291-5b55-4106-9e95-dccbf1ed9c69,,12,10,2,0,0,0.8333333333333334,5217,0.020024
D3,main-07,10908830-4176-42ba-b718-d2fdb0334f96,,8,8,0,0,0,1.0,4610,0.018779999999999998
D6,main-07,f763d3a9-3be3-4954-91fc-30934856820f,,8,7,0,1,0,0.875,5125,0.018520000000000002
P6,main-07,6fccf9fa-d832-4a72-b7f9-08ecbcdf13ef,,12,9,0,3,0,0.75,5332,0.020104
P6V,main-07,96cde890-a2cc-4c4f-b6c1-d86b5ab96311,,8,6,1,1,0,0.75,6872,0.028513999999999998
D3,main-08,b6f7bb26-8a54-4b90-aa86-514a2127f4f0,,12,10,2,0,0,0.8333333333333334,7140,0.02907
D6,main-08,599b6840-c4fb-44a9-882a-f4830d51197a,,12,10,1,1,0,0.8333333333333334,7605,0.027309999999999997
P6,main-08,4b76592a-a55f-4374-b161-9e09f3e4f1b9,,8,5,2,1,0,0.625,7162,0.030184000000000002
P6V,main-08,f7c4776f-00ff-42b2-befa-93ab7f1d1416,retrieved_evidence,8,6,1,1,0,0.75,6841,0.027492
D3,main-09,ae683571-5a8c-43ac-8ceb-6a278a8cfdaa,,8,6,1,1,0,0.75,7156,0.039552000000000004
D6,main-09,b5a2ec87-f243-41fa-a33d-75efd247495a,,12,10,2,0,0,0.8333333333333334,7497,0.026624000000000002
P6,main-09,d623d495-90ff-4e28-a1f2-80542d3be267,,8,7,1,0,0,0.875,5863,0.023996000000000003
P6V,main-09,37e40fa5-d136-4af0-9f95-584f4e2dc45c,,12,10,1,1,0,0.8333333333333334,6794,0.025588
D3,main-10,4ca30ae1-5601-4b85-a9fa-e740da5e3d36,,12,10,0,1,1,0.8333333333333334,5520,0.02123
D6,main-10,0555ae5c-bd9f-4f4e-b0d5-ceaefe13901a,,8,6,2,0,0,0.75,6950,0.0254
P6,main-10,babebdf7-acdf-4c93-90db-270b26959707,,8,8,0,0,0,1.0,6720,0.02429
P6V,main-10,bcb23848-36a1-413f-954f-4db6ab0eb324,zero_successful_sources,8,0,0,8,0,0.0,4019,0.012568
